experiment_class,payment_rule,correlation,risk,player_position,batch_size,bne_utilities
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,1.0,1.0,1,4194304,0.0741205811500549
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_vcg,1.0,1.0,2,4194304,0.4813942909240722
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,vcg,0.0,1.0,0,4,0.1958426535129547
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,vcg,0.0,1.0,1,4,0.1168902963399887
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,vcg,0.0,1.0,2,4,0.0383943915367126
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,0.0,1.0,0,4,0.0
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,0.0,1.0,1,4,0.0
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,0.0,1.0,2,4,0.7601604461669922
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,0.5,1.0,0,4,0.2205840349197387
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,0.5,1.0,1,4,0.0
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,0.5,1.0,2,4,0.828764021396637
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,1.0,1.0,0,4,0.0
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,1.0,1.0,1,4,0.0
<class 'bnelearn.experiment.combinatorial_experiment.LLGExperiment'>,nearest_bid,1.0,1.0,2,4,0.6703075766563416
